resort,city,state,peak_elevation,base_elevation,vertical_drop,acreage,trails,lifts,snowfall,price
Titus Mountain Family Ski Center,Malone,New York,2025,825,1200,380,50,10,150,49
Bromley Mountain Resort,Manchester,Vermont,3284,1950,1334,178,47,9,168,92
Crotched Mountain Ski and Ride,Manchester,New Hampshire,2066,1050,1016,75,23,5,105,71
McIntyre Ski Area,Manchester,New Hampshire,510,340,169,37,10,5,186,42
Snowshoe Mountain,Marlinton,West Virginia,4848,3348,1500,244,60,14,180,109
Wisp Ski Resort,McHenry,Maryland,3115,2145,700,132,34,12,100,49
Powder Ridge,Middlefield,Connecticut,803,377,426,80,19,7,60,49
Mont Tremblant Resort,Mont Tremblant,Quebec,2870,750,2120,627,95,14,156,70
Holiday Mountain,Monticello,New York,1550,1150,400,37,9,4,50,42
Ski Sawmill Resort,Morris,Pennsylvania,2215,1700,515,15,14,5,24,48
Red Hill Ski Area,Moultonborough,New Hampshire,820,610,210,670,9,1,186,63
Sunday River,Newry,Maine,3140,800,2340,870,153,18,155,109
Attitash Mountain Resort,North Conway,New Hampshire,2350,600,1750,311,68,9,120,56
Cranmore Mountain Resort,North Conway,New Hampshire,2000,600,1200,200,54,10,150,89
McCauley Mountain Ski Center,Old Forge,New York,2280,1647,633,70,21,5,200,35
Otis Ridge Ski Camp,Otis,Massachusetts,1700,1300,400,55,11,5,70,40
Blue Mountain Ski Area,Palmerton,Pennsylvania,1540,458,1082,164,39,13,33,70
Thunder Ridge Ski Area,Patterson,New York,1270,670,600,90,21,7,186,57
Le Massif,Petite-Rivi̬re-Saint-Fran̤ois,Quebec,2645,118,2527,410,48,4,248,61
Bosquet Ski Area,Pittsfield,Massachusetts,1818,1068,750,200,23,5,83,47
Jiminy Peak,Pittsfield,Massachusetts,2375,1125,1140,170,45,8,110,84
Beartown Ski Area,Plattburgh,New York,1000,850,150,32,9,2,186,22
Boyce Park Four Seasons Lodge,Plum,Pennsylvania,1245,1115,130,25,9,5,186,28
Tenney Mountain Resort,Plymouth,New Hampshire,2149,749,1400,110,45,3,140,59
Suicide Six,Pomfret,Vermont,1200,550,650,100,23,3,110,79
Powderhouse Hill,Portland,Maine,240,120,120,670,3,1,186,5
Big Rock,Presque Isle,Maine,1590,670,920,60,27,3,100,40
Cochran's Ski Area,Richmond,Vermont,950,600,350,15,8,3,150,19
Bristol Mountain Ski Resort,Rochester,New York,2150,1000,1150,160,35,6,130,79
Woods Valley Ski Area,Rome,New York,1400,900,500,25,21,6,180,39
Plattekill Mountain,Roxbury,New York,3500,2400,1100,110,38,4,175,68
Mount Pisgah Ski Area,Saranac Lake,New York,2060,1770,290,15,5,1,186,15
Searchmont,"Sault Ste. Marie, Ontario",Ontario,912,1470,700,100,21,4,132,59
Maple Ski Ridge,Schenectady,New York,1200,750,450,25,10,3,186,39
Spring Mountain Adventure,Schwenksville,Pennsylvania,528,78,450,45,9,6,20,48
Camelback Mountain Resort,Scranton,Pennsylvania,2130,1330,800,166,35,16,50,78
Elk Mountain Ski Resort,Scranton,Pennsylvania,2667,1742,925,180,27,7,60,69
Montage Mountain Resorts,Scranton,Pennsylvania,1960,960,1000,140,26,9,60,58
Seven Springs Mountain Resort,Seven Springs,Pennsylvania,2994,2240,750,285,40,14,150,76
Ski Ward,Shrewsbury,Massachusetts,420,210,210,45,9,6,80,55
Brantling Ski Slopes,Sodus,New York,850,600,250,20,10,5,110,32
Oak Mountain,Speculator,New York,2400,1650,750,46,22,4,120,40
Hard'ack Recreation Area,St. Albans,Vermont,4484,3277,100,670,43,1,186,63
Tussey Mountain Ski and Recreation,State College,Pennsylvania,1750,1230,520,38,7,3,41,62
Marble Mountain Ski Resort,Steady Brook,Newfoundland and Labrador,1791,33,1759,230,40,5,192,34
Stowe Mountain Resort,Stowe,Vermont,3719,1559,2160,485,116,13,333,139
Labrador Mountain,Truxton,New York,1825,1125,700,250,23,4,125,61
Song Mountain Resort,Tully,New York,1940,1240,700,93,24,5,125,61
Big Tupper Ski Area,Tupper Lake,New York,4484,3277,1178,670,43,7,186,63
Snow Ridge Ski Resort,Turin,New York,2000,1350,650,130,21,6,230,48
Denton Hill State Park,Ulysses,Pennsylvania,2460,1800,660,670,43,5,186,63
Mountain Creek,Vernon,New Jersey,1490,450,1040,167,46,9,65,80
Mountain Creek,Vernon Township,New Jersey,1480,440,1040,200,41,8,65,80
Greek Peak Mountain Resort,Virgil,New York,2200,1148,952,220,55,9,122,79
Mad River Glen,Waitsfield,Vermont,3637,1600,2037,115,52,5,230,79
Sugarbush Resort,Warren,Vermont,4083,1483,2600,508,111,16,269,128
Mount Peter,Warwick,New York,1250,800,450,69,14,5,50,62
Bolton Valley,Waterbury,Vermont,3150,2100,1704,300,71,6,312,69
Mount Southington,Waterbury,Connecticut,525,100,425,51,14,7,80,62
Dry Hill Ski Area,Watertown,New York,950,650,300,37,7,3,125,38
Eaton Mountain,Waterville,Maine,840,220,620,130,18,2,72,15
Waterville Valley Resort,Waterville Valley,New Hampshire,3840,1820,2020,220,50,11,150,69
Ski Wentworth,Wentworth,Nova Scotia,990,715,815,150,20,3,150,35
Oglebay Resort,Wheeling,West Virginia,4484,3277,168,670,1,1,186,28
Jack Frost - Big Boulder Ski Area,White Haven,Pennsylvania,2000,1400,600,145,35,22,50,68
Windham Mountain,Windham,New York,3100,1500,1600,279,52,12,100,98
Stratton Mountain Resort,Winhall,Vermont,3875,1872,2003,670,99,11,171,125
Abenaki Ski Area,Wolfeboro,New Hampshire,815,600,215,18,7,2,186,25
Wachusett Mountain,Worcester,Massachusetts,2006,1006,1000,110,22,7,100,73
